Article URL,Nome do artigo,Categoria,Campanha,Data,Visitas Diretas,Novos usuários únicos,Clicks pagos,Tempo de leitura (minutos),Clicks redes sociais,Vezes pesquisados,Visualizações
Article_1,Recomendações de experiência do usuário,UX,1047,07/04/2021, 6.144 , 9.830 , 0 , 77.579 , 15.974 , 2.765 , 30.771 
Article_1,Recomendações de experiência do usuário,UX,1047,07/05/2021, 130 , 208 , 0 , 2.857 , 338 , 59 , 734 
Article_1,Recomendações de experiência do usuário,UX,1047,07/06/2021, 7.714 , 12.342 , 0 , 40.904 , 20.056 , 3.471 , 38.619 
Article_1,Recomendações de experiência do usuário,UX,1047,07/07/2021, 1.254 , 2.006 , 0 , 13.332 , 3.260 , 564 , 6.359 
Article_1,Recomendações de experiência do usuário,UX,1047,07/08/2021, 75 , 120 , 0 , 1.353 , 196 , 34 , 385 
Article_1,Recomendações de experiência do usuário,UX,1047,07/09/2021, 151 , 242 , 0 , 1.567 , 393 , 68 , 789 
Article_1,Recomendações de experiência do usuário,UX,1047,07/10/2021, 973 , 1.556 , 0 , 5.337 , 2.529 , 438 , 4.897 
Article_1,Recomendações de experiência do usuário,UX,1047,07/11/2021, 52 , 84 , 0 , 577 , 136 , 23 , 324 
Article_1,Recomendações de experiência do usuário,UX,1047,07/12/2021, 461 , 737 , 0 , 6.105 , 1.198 , 207 , 2.383 
Article_1,Recomendações de experiência do usuário,UX,1047,07/13/2021, 1.346 , 2.154 , 0 , 21.441 , 3.501 , 606 , 6.819 
Article_1,Recomendações de experiência do usuário,UX,1047,07/14/2021, 302 , 484 , 0 , 3.236 , 786 , 136 , 1.574 
Article_1,Recomendações de experiência do usuário,UX,1047,07/15/2021, 2.381 , 3.810 , 0 , 38.829 , 6.192 , 1.072 , 11.974 
Article_1,Recomendações de experiência do usuário,UX,1047,07/16/2021, 519 , 831 , 0 , 4.453 , 1.350 , 234 , 2.629 
Article_1,Recomendações de experiência do usuário,UX,1047,07/17/2021, 1.360 , 2.175 , 0 , 25.163 , 3.535 , 612 , 6.867 
Article_1,Recomendações de experiência do usuário,UX,1047,07/18/2021, 1.247 , 1.996 , 0 , 7.505 , 3.243 , 561 , 6.247 
Article_1,Recomendações de experiência do usuário,UX,1047,07/19/2021, 1.477 , 2.364 , 0 , 19.864 , 3.841 , 665 , 7.419 
Article_1,Recomendações de experiência do usuário,UX,1047,07/20/2021, 82 , 131 , 0 , 736 , 212 , 37 , 437 
Article_1,Recomendações de experiência do usuário,UX,1047,07/21/2021, 247 , 395 , 0 , 4.189 , 642 , 111 , 1.246 
Article_1,Recomendações de experiência do usuário,UX,1047,07/22/2021, 1.601 , 2.561 , 0 , 16.491 , 4.162 , 720 , 8.013 
Article_1,Recomendações de experiência do usuário,UX,1047,07/23/2021, 46 , 74 , 0 , 426 , 120 , 21 , 238 
Article_1,Recomendações de experiência do usuário,UX,1047,07/24/2021, 918 , 1.469 , 0 , 4.714 , 2.388 , 413 , 4.619 
Article_1,Recomendações de experiência do usuário,UX,1047,07/25/2021, 1.924 , 3.078 , 0 , 14.157 , 5.002 , 866 , 9.690 
Article_1,Recomendações de experiência do usuário,UX,1047,07/26/2021, 218 , 348 , 0 , 3.128 , 566 , 98 , 1.138 
Article_1,Recomendações de experiência do usuário,UX,1047,07/27/2021, 1.450 , 2.321 , 0 , 18.544 , 3.771 , 653 , 7.297 
Article_1,Recomendações de experiência do usuário,UX,1047,07/28/2021, 464 , 742 , 0 , 4.782 , 1.206 , 209 , 2.371 
Article_1,Recomendações de experiência do usuário,UX,1047,07/29/2021, 730 , 1.167 , 0 , 14.655 , 1.897 , 328 , 3.702 
Article_1,Recomendações de experiência do usuário,UX,1047,07/30/2021, 6.270 , 10.032 , 0 , 33.789 , 16.302 , 2.822 , 31.399 
Article_1,Recomendações de experiência do usuário,UX,1047,07/31/2021, 885 , 1.416 , 0 , 15.080 , 2.300 , 398 , 4.474 
Article_1,Recomendações de experiência do usuário,UX,1047,08/01/2021, 940 , 1.504 , 0 , 11.999 , 2.444 , 423 , 4.791 
Article_1,Recomendações de experiência do usuário,UX,1047,08/02/2021, 242 , 387 , 0 , 2.526 , 629 , 109 , 1.259 
Article_1,Recomendações de experiência do usuário,UX,1047,08/03/2021, 59 , 95 , 0 , 925 , 154 , 27 , 320 
Article_1,Recomendações de experiência do usuário,UX,1047,08/04/2021, 2.739 , 4.382 , 0 , 54.636 , 7.121 , 1.233 , 13.793 
Article_1,Recomendações de experiência do usuário,UX,1047,08/05/2021, 1.228 , 1.964 , 0 , 24.095 , 3.192 , 552 , 6.163 
Article_1,Recomendações de experiência do usuário,UX,1047,08/06/2021, 84 , 134 , 0 , 831 , 218 , 38 , 520 
Article_1,Recomendações de experiência do usuário,UX,1047,08/07/2021, 1.654 , 2.647 , 0 , 32.801 , 4.301 , 744 , 8.352 
Article_1,Recomendações de experiência do usuário,UX,1047,08/08/2021, 2.601 , 4.162 , 0 , 52.007 , 6.763 , 1.170 , 13.069 
Article_1,Recomendações de experiência do usuário,UX,1047,08/09/2021, 2.839 , 4.543 , 0 , 31.551 , 7.382 , 1.278 , 14.238 
Article_1,Recomendações de experiência do usuário,UX,1047,08/10/2021, 998 , 1.597 , 0 , 7.035 , 2.596 , 449 , 5.016 
Article_1,Recomendações de experiência do usuário,UX,1047,08/11/2021, 1.076 , 1.722 , 0 , 8.837 , 2.799 , 484 , 5.392 
Article_1,Recomendações de experiência do usuário,UX,1047,08/12/2021, 304 , 486 , 0 , 2.671 , 789 , 137 , 1.550 
Article_1,Recomendações de experiência do usuário,UX,1047,08/13/2021, 533 , 852 , 0 , 7.069 , 1.385 , 240 , 2.756 
Article_1,Recomendações de experiência do usuário,UX,1047,08/14/2021, 437 , 699 , 0 , 3.498 , 1.136 , 197 , 2.282 
Article_1,Recomendações de experiência do usuário,UX,1047,08/15/2021, 2.152 , 3.443 , 0 , 40.344 , 5.594 , 968 , 10.788 
Article_1,Recomendações de experiência do usuário,UX,1047,08/16/2021, 2.790 , 4.464 , 0 , 53.828 , 7.254 , 1.256 , 14.047 
Article_1,Recomendações de experiência do usuário,UX,1047,08/17/2021, 232 , 372 , 0 , 2.834 , 604 , 105 , 1.179 
Article_1,Recomendações de experiência do usuário,UX,1047,08/18/2021, 3.763 , 6.021 , 0 , 45.771 , 9.784 , 1.693 , 18.854 
Article_1,Recomendações de experiência do usuário,UX,1047,08/19/2021, 136 , 218 , 0 , 1.985 , 354 , 61 , 739 
Article_1,Recomendações de experiência do usuário,UX,1047,08/20/2021, 2.448 , 3.917 , 0 , 30.795 , 6.365 , 1.102 , 12.294 
Article_1,Recomendações de experiência do usuário,UX,1047,08/21/2021, 1.940 , 3.105 , 0 , 24.299 , 5.045 , 873 , 9.783 
Article_1,Recomendações de experiência do usuário,UX,1047,08/22/2021, 106 , 170 , 0 , 1.054 , 276 , 48 , 576 
Article_1,Recomendações de experiência do usuário,UX,1047,08/23/2021, 46 , 74 , 0 , 294 , 121 , 21 , 240 
Article_1,Recomendações de experiência do usuário,UX,1047,08/24/2021, 2.246 , 3.594 , 0 , 20.067 , 5.841 , 1.011 , 11.247 
Article_1,Recomendações de experiência do usuário,UX,1047,08/25/2021, 1.170 , 1.872 , 0 , 7.021 , 3.042 , 527 , 5.904 
Article_1,Recomendações de experiência do usuário,UX,1047,08/26/2021, 252 , 403 , 0 , 4.432 , 655 , 113 , 1.285 
Article_1,Recomendações de experiência do usuário,UX,1047,08/27/2021, 1.039 , 1.662 , 0 , 19.036 , 2.701 , 467 , 5.278 
Article_1,Recomendações de experiência do usuário,UX,1047,08/28/2021, 1.999 , 3.199 , 0 , 36.531 , 5.198 , 900 , 10.046 
Article_1,Recomendações de experiência do usuário,UX,1047,08/29/2021, 684 , 1.094 , 0 , 4.571 , 1.778 , 308 , 3.427 
Article_1,Recomendações de experiência do usuário,UX,1047,08/30/2021, 1.915 , 3.064 , 0 , 24.348 , 4.980 , 862 , 9.647 
Article_1,Recomendações de experiência do usuário,UX,1047,08/31/2021, 126 , 202 , 0 , 1.384 , 328 , 57 , 708 
Article_1,Recomendações de experiência do usuário,UX,1047,09/01/2021, 374 , 599 , 0 , 5.074 , 973 , 168 , 1.895 
Article_1,Recomendações de experiência do usuário,UX,1047,09/02/2021, 169 , 271 , 0 , 1.750 , 440 , 76 , 903 
Article_1,Recomendações de experiência do usuário,UX,1047,09/03/2021, 285 , 456 , 0 , 2.637 , 741 , 128 , 1.438 
Article_1,Recomendações de experiência do usuário,UX,1047,09/04/2021, 580 , 927 , 0 , 8.092 , 1.507 , 261 , 2.931 
Article_1,Recomendações de experiência do usuário,UX,1047,09/05/2021, 370 , 591 , 0 , 6.859 , 961 , 166 , 1.888 
Article_1,Recomendações de experiência do usuário,UX,1047,09/06/2021, 250 , 400 , 0 , 3.386 , 650 , 113 , 1.342 
Article_1,Recomendações de experiência do usuário,UX,1047,09/07/2021, 51 , 82 , 0 , 411 , 133 , 23 , 314 
Article_1,Recomendações de experiência do usuário,UX,1047,09/08/2021, 4.788 , 7.661 , 0 , 84.401 , 12.449 , 2.155 , 23.965 
Article_1,Recomendações de experiência do usuário,UX,1047,09/09/2021, 422 , 676 , 0 , 5.297 , 1.098 , 190 , 2.153 
Article_1,Recomendações de experiência do usuário,UX,1047,09/10/2021, 1.148 , 1.837 , 0 , 16.325 , 2.985 , 517 , 5.758 
Article_1,Recomendações de experiência do usuário,UX,1047,09/11/2021, 260 , 417 , 0 , 2.538 , 677 , 117 , 1.313 
Article_1,Recomendações de experiência do usuário,UX,1047,09/12/2021, 515 , 824 , 0 , 6.645 , 1.338 , 232 , 2.579 
Article_1,Recomendações de experiência do usuário,UX,1047,09/13/2021, 126 , 202 , 0 , 1.187 , 328 , 57 , 678 
Article_1,Recomendações de experiência do usuário,UX,1047,09/14/2021, 67 , 108 , 0 , 579 , 175 , 30 , 415 
Article_1,Recomendações de experiência do usuário,UX,1047,09/15/2021, 211 , 337 , 0 , 1.154 , 548 , 95 , 1.076 
Article_1,Recomendações de experiência do usuário,UX,1047,09/16/2021, 160 , 256 , 0 , 912 , 416 , 72 , 815 
Article_1,Recomendações de experiência do usuário,UX,1047,09/17/2021, 681 , 1.089 , 0 , 12.123 , 1.770 , 306 , 3.486 
Article_1,Recomendações de experiência do usuário,UX,1047,09/18/2021, 721 , 1.153 , 0 , 6.748 , 1.874 , 324 , 3.631 
Article_1,Recomendações de experiência do usuário,UX,1047,09/19/2021, 247 , 395 , 0 , 2.764 , 642 , 111 , 1.322 
Article_1,Recomendações de experiência do usuário,UX,1047,09/20/2021, 130 , 208 , 0 , 1.937 , 338 , 59 , 676 
Article_1,Recomendações de experiência do usuário,UX,1047,09/21/2021, 52 , 83 , 0 , 348 , 135 , 23 , 265 
Article_1,Recomendações de experiência do usuário,UX,1047,09/22/2021, 160 , 256 , 0 , 917 , 416 , 72 , 818 
Article_1,Recomendações de experiência do usuário,UX,1047,09/23/2021, 177 , 283 , 0 , 1.975 , 460 , 80 , 965 
Article_1,Recomendações de experiência do usuário,UX,1047,09/24/2021, 340 , 544 , 0 , 3.211 , 885 , 153 , 1.743 
Article_1,Recomendações de experiência do usuário,UX,1047,09/25/2021, 22 , 35 , 0 , 317 , 57 , 10 , 183 
Article_1,Recomendações de experiência do usuário,UX,1047,09/26/2021, 112 , 179 , 0 , 2.246 , 291 , 50 , 570 
Article_1,Recomendações de experiência do usuário,UX,1047,09/27/2021, 216 , 345 , 0 , 1.701 , 561 , 97 , 1.137 
Article_1,Recomendações de experiência do usuário,UX,1047,09/28/2021, 94 , 150 , 0 , 1.638 , 243 , 42 , 531 
Article_1,Recomendações de experiência do usuário,UX,1047,09/29/2021, 396 , 634 , 0 , 2.273 , 1.030 , 178 , 1.996 
Article_1,Recomendações de experiência do usuário,UX,1047,09/30/2021, 32 , 51 , 0 , 584 , 83 , 14 , 206 
Article_1,Recomendações de experiência do usuário,UX,1047,10/01/2021, 86 , 138 , 0 , 1.064 , 225 , 39 , 456 
Article_1,Recomendações de experiência do usuário,UX,1047,10/02/2021, 75 , 120 , 0 , 1.513 , 194 , 34 , 403 
Article_1,Recomendações de experiência do usuário,UX,1047,10/03/2021, 238 , 381 , 0 , 3.236 , 619 , 107 , 1.192 
Article_1,Recomendações de experiência do usuário,UX,1047,10/04/2021, 292 , 467 , 0 , 3.438 , 759 , 131 , 1.518 
Article_1,Recomendações de experiência do usuário,UX,1047,10/05/2021, 771 , 1.233 , 0 , 9.385 , 2.004 , 347 , 3.945 
Article_1,Recomendações de experiência do usuário,UX,1047,10/06/2021, 134 , 215 , 0 , 889 , 349 , 60 , 736 
Article_1,Recomendações de experiência do usuário,UX,1047,10/07/2021, 185 , 296 , 0 , 3.250 , 480 , 83 , 931 
Article_1,Recomendações de experiência do usuário,UX,1047,10/08/2021, 175 , 280 , 0 , 3.772 , 454 , 79 , 953 
Article_1,Recomendações de experiência do usuário,UX,1047,10/09/2021, 406 , 650 , 0 , 6.417 , 1.056 , 183 , 2.085 
Article_1,Recomendações de experiência do usuário,UX,1047,10/10/2021, 140 , 224 , 0 , 1.586 , 364 , 63 , 792 
Article_1,Recomendações de experiência do usuário,UX,1047,10/11/2021, 499 , 798 , 0 , 9.342 , 1.297 , 224 , 2.537 
Article_1,Recomendações de experiência do usuário,UX,1047,10/12/2021, 842 , 1.348 , 0 , 7.680 , 2.190 , 379 , 4.307 
Article_1,Recomendações de experiência do usuário,UX,1047,10/13/2021, 773 , 1.236 , 0 , 14.930 , 2.009 , 348 , 3.933 
Article_1,Recomendações de experiência do usuário,UX,1047,10/14/2021, 238 , 380 , 0 , 4.310 , 618 , 107 , 1.219 
Article_1,Recomendações de experiência do usuário,UX,1047,10/15/2021, 243 , 389 , 0 , 1.673 , 632 , 109 , 1.284 
Article_1,Recomendações de experiência do usuário,UX,1047,10/16/2021, 647 , 1.035 , 0 , 12.837 , 1.682 , 291 , 3.329 
Article_1,Recomendações de experiência do usuário,UX,1047,10/17/2021, 425 , 680 , 0 , 7.287 , 1.104 , 191 , 2.154 
Article_1,Recomendações de experiência do usuário,UX,1047,10/18/2021, 1.066 , 1.706 , 0 , 6.103 , 2.772 , 480 , 5.395 
Article_1,Recomendações de experiência do usuário,UX,1047,10/19/2021, 166 , 266 , 0 , 1.590 , 433 , 75 , 898 
Article_1,Recomendações de experiência do usuário,UX,1047,10/20/2021, 101 , 161 , 0 , 1.421 , 262 , 45 , 586 
Article_1,Recomendações de experiência do usuário,UX,1047,10/21/2021, 194 , 310 , 0 , 3.429 , 503 , 87 , 972 
Article_1,Recomendações de experiência do usuário,UX,1047,10/22/2021, 551 , 881 , 0 , 8.218 , 1.432 , 248 , 2.785 
Article_1,Recomendações de experiência do usuário,UX,1047,10/23/2021, 707 , 1.131 , 0 , 4.986 , 1.838 , 318 , 3.604 
Article_1,Recomendações de experiência do usuário,UX,1047,10/24/2021, 518 , 829 , 0 , 7.551 , 1.348 , 233 , 2.677 
Article_1,Recomendações de experiência do usuário,UX,1047,10/25/2021, 640 , 1.024 , 0 , 11.594 , 1.664 , 288 , 3.202 
Article_1,Recomendações de experiência do usuário,UX,1047,10/26/2021, 312 , 499 , 0 , 2.592 , 810 , 140 , 1.587 
Article_1,Recomendações de experiência do usuário,UX,1047,10/27/2021, 29 , 47 , 0 , 647 , 76 , 13 , 208 
Article_1,Recomendações de experiência do usuário,UX,1047,10/28/2021, 232 , 371 , 0 , 2.775 , 603 , 104 , 1.168 
Article_1,Recomendações de experiência do usuário,UX,1047,10/29/2021, 60 , 96 , 0 , 1.154 , 156 , 27 , 383 
Article_1,Recomendações de experiência do usuário,UX,1047,10/30/2021, 101 , 162 , 0 , 1.724 , 263 , 46 , 543 
Article_1,Recomendações de experiência do usuário,UX,1047,10/31/2021, 455 , 729 , 0 , 7.839 , 1.184 , 205 , 2.296 
Article_1,Recomendações de experiência do usuário,UX,1047,11/01/2021, 11 , 18 , 0 , 483 , 29 , 5 , 130 
Article_1,Recomendações de experiência do usuário,UX,1047,11/02/2021, 528 , 845 , 0 , 8.258 , 1.373 , 238 , 2.691 
Article_1,Recomendações de experiência do usuário,UX,1047,11/03/2021, 35 , 56 , 32 , 285 , 92 , 16 , 232 
Article_1,Recomendações de experiência do usuário,UX,1047,11/04/2021, 1.674 , 2.678 , 0 , 33.173 , 4.352 , 753 , 8.462 
Article_1,Recomendações de experiência do usuário,UX,1047,11/05/2021, 26 , 42 , 0 , 864 , 69 , 12 , 222 
Article_1,Recomendações de experiência do usuário,UX,1047,11/06/2021, 20 , 31 , 0 , 563 , 51 , 9 , 178 
Article_1,Recomendações de experiência do usuário,UX,1047,11/07/2021, 129 , 206 , 0 , 2.539 , 335 , 58 , 652 
Article_1,Recomendações de experiência do usuário,UX,1047,11/08/2021, 1.238 , 1.980 , 0 , 19.237 , 3.218 , 557 , 6.211 
Article_1,Recomendações de experiência do usuário,UX,1047,11/09/2021, 141 , 225 , 0 , 1.960 , 366 , 63 , 765 
Article_1,Recomendações de experiência do usuário,UX,1047,11/10/2021, 36 , 58 , 0 , 502 , 94 , 16 , 222 
Article_1,Recomendações de experiência do usuário,UX,1047,11/11/2021, 168 , 269 , 0 , 2.507 , 437 , 76 , 863 
Article_1,Recomendações de experiência do usuário,UX,1047,11/12/2021, 72 , 115 , 0 , 1.139 , 187 , 32 , 449 
Article_1,Recomendações de experiência do usuário,UX,1047,11/13/2021, 3.208 , 5.132 , 0 , 38.836 , 8.340 , 1.443 , 16.105 
Article_1,Recomendações de experiência do usuário,UX,1047,11/14/2021, 118 , 188 , 0 , 1.668 , 306 , 53 , 627 
Article_1,Recomendações de experiência do usuário,UX,1047,11/15/2021, 172 , 275 , 0 , 2.539 , 446 , 77 , 924 
Article_1,Recomendações de experiência do usuário,UX,1047,11/16/2021, 17 , 27 , 0 , 315 , 44 , 8 , 132 
Article_1,Recomendações de experiência do usuário,UX,1047,11/17/2021, 153 , 245 , 0 , 2.107 , 398 , 69 , 815 
Article_1,Recomendações de experiência do usuário,UX,1047,11/18/2021, 316 , 506 , 0 , 3.159 , 822 , 142 , 1.649 
Article_1,Recomendações de experiência do usuário,UX,1047,11/19/2021, 336 , 538 , 0 , 2.289 , 874 , 151 , 1.768 
Article_1,Recomendações de experiência do usuário,UX,1047,11/20/2021, 81 , 129 , 0 , 1.252 , 210 , 36 , 447 
Article_1,Recomendações de experiência do usuário,UX,1047,11/21/2021, 207 , 331 , 0 , 2.868 , 538 , 93 , 1.110 
Article_1,Recomendações de experiência do usuário,UX,1047,11/22/2021, 574 , 918 , 0 , 3.141 , 1.492 , 258 , 2.895 
Article_1,Recomendações de experiência do usuário,UX,1047,11/23/2021, 118 , 188 , 0 , 2.490 , 306 , 53 , 639 
Article_1,Recomendações de experiência do usuário,UX,1047,11/24/2021, 624 , 998 , 0 , 12.596 , 1.622 , 281 , 3.206 
Article_1,Recomendações de experiência do usuário,UX,1047,11/25/2021, 533 , 853 , 0 , 6.857 , 1.386 , 240 , 2.703 
Article_1,Recomendações de experiência do usuário,UX,1047,11/26/2021, 765 , 1.225 , 0 , 9.120 , 1.990 , 344 , 3.912 
Article_1,Recomendações de experiência do usuário,UX,1047,11/27/2021, 1.006 , 1.610 , 0 , 11.853 , 2.617 , 453 , 5.039 
Article_1,Recomendações de experiência do usuário,UX,1047,11/28/2021, 916 , 1.466 , 0 , 15.768 , 2.383 , 412 , 4.651 
Article_1,Recomendações de experiência do usuário,UX,1047,11/29/2021, 46 , 74 , 0 , 529 , 120 , 21 , 239 
Article_1,Recomendações de experiência do usuário,UX,1047,11/30/2021, 36 , 58 , 0 , 280 , 95 , 16 , 233 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/02/2021, 63 , 101 , 0 , 1.580 , 164 , 28 , 409 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/03/2021, 29 , 47 , 0 , 442 , 76 , 13 , 173 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/04/2021, 14 , 22 , 0 , 430 , 36 , 6 , 117 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/05/2021, 136 , 217 , 0 , 2.146 , 353 , 61 , 702 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/06/2021, 294 , 471 , 0 , 5.686 , 765 , 132 , 1.495 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/07/2021, 180 , 288 , 0 , 1.754 , 467 , 81 , 964 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/08/2021, 27 , 43 , 0 , 285 , 70 , 12 , 147 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/09/2021, 28 , 44 , 0 , 547 , 72 , 12 , 162 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/10/2021, 35 , 57 , 0 , 246 , 92 , 16 , 191 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/11/2021, 0 , 0 , 0 , 191 , 0 , 0 , 53 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/12/2021, 9 , 14 , 0 , 136 , 23 , 4 , 45 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/13/2021, 12 , 20 , 0 , 184 , 32 , 6 , 77 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/14/2021, 40 , 64 , 0 , 957 , 104 , 18 , 257 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/16/2021, 9 , 14 , 0 , 123 , 23 , 4 , 74 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/17/2021, 0 , 0 , 0 , 69 , 0 , 0 , 21 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/18/2021, 72 , 115 , 0 , 892 , 187 , 32 , 372 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/20/2021, 90 , 144 , 0 , 1.111 , 234 , 41 , 519 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/21/2021, 22 , 35 , 0 , 630 , 56 , 10 , 162 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/22/2021, 38 , 61 , 0 , 602 , 99 , 17 , 198 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/24/2021, 98 , 156 , 0 , 1.725 , 254 , 44 , 543 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/26/2021, 0 , 0 , 0 , 57 , 0 , 0 , 25 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/27/2021, 0 , 0 , 0 , 21 , 0 , 0 , 13 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,06/30/2021, 0 , 0 , 0 , 88 , 0 , 0 , 70 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,07/02/2021, 5 , 8 , 0 , 116 , 14 , 2 , 64 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,07/03/2021, 66 , 105 , 0 , 410 , 171 , 30 , 354 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,07/04/2021, 30 , 47 , 0 , 693 , 77 , 13 , 238 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,07/05/2021, 13 , 21 , 0 , 222 , 34 , 6 , 104 
Article_10,Análise: Expectativa vs. Realidade,Gestão,1047,07/09/2021, 24 , 38 , 0 , 339 , 62 , 11 , 164 
